Должность,Компания,Адрес,Ссылка 
['Инженер по машинному обучению (проект "Новые пользователи")', 'VK', 'Санкт-Петербург', 'https://prokopyevsk.hh.ru/vacancy/68352725?from=vacancy_search_list&query=python']
['Ведущий AI/ML инженер', 'SteadyControl', 'Екатеринбург', 'https://prokopyevsk.hh.ru/vacancy/72451068?from=vacancy_search_list&query=python']
['Автор работ по программированию Python', 'Homework', 'Нижний Новгород', 'https://prokopyevsk.hh.ru/vacancy/73146098?from=vacancy_search_list&query=python']
['Программист Python/Data Scientist (middle/senior) - удаленно | fully remote', 'ООО\xa0Апэрбот', 'Новосибирск', 'https://prokopyevsk.hh.ru/vacancy/72428920?from=vacancy_search_list&query=python']
['Backend разработчик Python midlle', 'ГРЧЦ', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/44070869?from=vacancy_search_list&query=python']
['Senior / Middle+ QA Automation Backend (python)', 'КИБЕР-РОМ', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/72688800?from=vacancy_search_list&query=python']
['Senior Python разработчик (PT Sandbox)', 'Positive Technologies', 'Нижний Новгород', 'https://prokopyevsk.hh.ru/vacancy/72137569?from=vacancy_search_list&query=python']
['Data Science', 'Лига Цифровой Экономики', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/70674007?from=vacancy_search_list&query=python']
['Middle Backend / Python (remote)', 'ООО\xa0ТЛ Групп', 'Ташкент', 'https://prokopyevsk.hh.ru/vacancy/72427790?from=vacancy_search_list&query=python']
['Python Developer', 'Stafflix', 'Санкт-Петербург', 'https://prokopyevsk.hh.ru/vacancy/72464515?from=vacancy_search_list&query=python']
['QA Intern - Automation testing', 'a1qa', 'Алматы', 'https://prokopyevsk.hh.ru/vacancy/67363507?from=vacancy_search_list&query=python']
['Senior Python Developer (Удаленно)', 'IT and Digital', 'Тбилиси', 'https://prokopyevsk.hh.ru/vacancy/72431905?from=vacancy_search_list&query=python']
['Data Engineer', 'ИП\xa0Райков Евгений Игоревич', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/72660701?from=vacancy_search_list&query=python']
['Стажер-разработчик бэкенда (Python)', 'Яндекс', 'Новосибирск', 'https://prokopyevsk.hh.ru/vacancy/72377125?from=vacancy_search_list&query=python']
['Data-инженер', 'Тинькофф', 'Алматы', 'https://prokopyevsk.hh.ru/vacancy/71763858?from=vacancy_search_list&query=python']
['Senior Python разработчик', 'Домклик', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/68918046?from=vacancy_search_list&query=python']
['Python backend developer', 'ООО\xa0Талала', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/72455309?from=vacancy_search_list&query=python']
['Python-разработчик', 'ЛитРес', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/71525700?from=vacancy_search_list&query=python']
['Ведущий разработчик ПО в области облачных технологий', 'ООО\xa0Прогматик Лаб', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/68317619?from=vacancy_search_list&query=python']
['Инженер DevOps', 'ГК Альфа', 'Казань', 'https://prokopyevsk.hh.ru/vacancy/72938588?from=vacancy_search_list&query=python']
['Junior+/pre-middle Data Scientist (дистанционно)', 'DataLouna', 'Новосибирск', 'https://prokopyevsk.hh.ru/vacancy/72567313?from=vacancy_search_list&query=python']
